01:52:53 : CPU 18.8%, MEM 2.4%
01:53:54 : CPU 20.0%, MEM 2.4%
01:53:55 : CPU 26.7%, MEM 2.4%
01:53:56 : CPU 20.0%, MEM 2.4%
01:53:57 : CPU 20.0%, MEM 2.4%
01:53:58 : CPU 20.0%, MEM 2.4%
01:54:00 : CPU 20.0%, MEM 2.4%
01:54:01 : CPU 13.3%, MEM 2.4%
01:54:02 : CPU 18.8%, MEM 2.4%
01:54:03 : CPU 18.8%, MEM 2.4%
01:54:04 : CPU 13.3%, MEM 2.4%
01:54:05 : CPU 20.0%, MEM 2.4%
01:54:07 : CPU 20.0%, MEM 2.4%
01:54:08 : CPU 20.0%, MEM 2.4%
01:54:09 : CPU 13.3%, MEM 2.4%
01:54:10 : CPU 20.0%, MEM 2.4%
01:54:11 : CPU 20.0%, MEM 2.4%
01:54:12 : CPU 20.0%, MEM 2.4%
01:54:13 : CPU 18.8%, MEM 2.4%
01:54:15 : CPU 13.3%, MEM 2.4%
01:54:16 : CPU 20.0%, MEM 2.4%
01:54:17 : CPU 20.0%, MEM 2.4%
01:54:18 : CPU 26.7%, MEM 2.4%
01:54:19 : CPU 13.3%, MEM 2.4%
01:54:20 : CPU 26.7%, MEM 2.4%
01:54:22 : CPU 12.5%, MEM 2.4%
01:54:23 : CPU 12.5%, MEM 2.4%
01:54:24 : CPU 12.5%, MEM 2.4%
01:54:25 : CPU 20.0%, MEM 2.4%
01:54:26 : CPU 13.3%, MEM 2.4%
01:54:27 : CPU 20.0%, MEM 2.4%
01:54:29 : CPU 26.7%, MEM 2.4%
01:54:30 : CPU 13.3%, MEM 2.4%
01:54:31 : CPU 12.5%, MEM 2.4%
01:54:32 : CPU 18.8%, MEM 2.4%
01:54:33 : CPU 18.8%, MEM 2.4%
01:54:34 : CPU 20.0%, MEM 2.4%
01:54:36 : CPU 20.0%, MEM 2.4%
01:54:37 : CPU 20.0%, MEM 2.4%
01:54:38 : CPU 20.0%, MEM 2.4%
01:54:39 : CPU 20.0%, MEM 2.4%
01:54:40 : CPU 13.3%, MEM 2.4%
01:54:41 : CPU 18.8%, MEM 2.4%
01:54:43 : CPU 18.8%, MEM 2.4%
01:54:44 : CPU 20.0%, MEM 2.4%
01:54:45 : CPU 20.0%, MEM 2.4%
01:54:46 : CPU 13.3%, MEM 2.4%
01:54:47 : CPU 13.3%, MEM 2.4%
01:54:48 : CPU 18.8%, MEM 2.4%
01:54:49 : CPU 18.8%, MEM 2.4%
01:54:51 : CPU 18.8%, MEM 2.4%
01:54:52 : CPU 12.5%, MEM 2.4%
01:54:53 : CPU 20.0%, MEM 2.4%
01:54:54 : CPU 13.3%, MEM 2.4%
01:54:55 : CPU 26.7%, MEM 2.4%
01:54:56 : CPU 20.0%, MEM 2.4%
01:54:58 : CPU 20.0%, MEM 2.4%
01:54:59 : CPU 20.0%, MEM 2.4%
01:55:00 : CPU 12.5%, MEM 2.4%
01:55:01 : CPU 13.3%, MEM 2.4%
01:55:02 : CPU 13.3%, MEM 2.4%
01:55:03 : CPU 20.0%, MEM 2.4%
01:55:05 : CPU 20.0%, MEM 2.4%
01:55:06 : CPU 20.0%, MEM 2.4%
01:55:07 : CPU 12.5%, MEM 2.4%
01:55:08 : CPU 18.8%, MEM 2.4%
01:55:09 : CPU 20.0%, MEM 2.4%
01:55:10 : CPU 20.0%, MEM 2.4%
01:55:12 : CPU 20.0%, MEM 2.4%
01:55:13 : CPU 13.3%, MEM 2.4%
01:55:14 : CPU 13.3%, MEM 2.4%
01:55:15 : CPU 26.7%, MEM 2.4%
01:55:16 : CPU 12.5%, MEM 2.4%
01:55:17 : CPU 18.8%, MEM 2.4%
01:55:19 : CPU 13.3%, MEM 2.4%
01:55:20 : CPU 13.3%, MEM 2.4%
01:55:21 : CPU 20.0%, MEM 2.4%
01:55:22 : CPU 13.3%, MEM 2.4%
01:55:23 : CPU 20.0%, MEM 2.4%
01:55:24 : CPU 13.3%, MEM 2.4%
01:55:25 : CPU 18.8%, MEM 2.4%
01:55:27 : CPU 13.3%, MEM 2.4%
01:55:28 : CPU 13.3%, MEM 2.4%
01:55:29 : CPU 20.0%, MEM 2.4%
01:55:30 : CPU 13.3%, MEM 2.4%
01:55:31 : CPU 20.0%, MEM 2.4%
01:55:32 : CPU 18.8%, MEM 2.4%
01:55:34 : CPU 18.8%, MEM 2.4%
01:55:35 : CPU 20.0%, MEM 2.4%
01:55:36 : CPU 20.0%, MEM 2.4%
01:55:37 : CPU 6.7%, MEM 2.4%
01:55:38 : CPU 26.7%, MEM 2.4%
01:55:39 : CPU 13.3%, MEM 2.4%
01:55:41 : CPU 18.8%, MEM 2.4%
01:55:42 : CPU 18.8%, MEM 2.4%
01:55:43 : CPU 20.0%, MEM 2.4%
01:55:44 : CPU 13.3%, MEM 2.4%
01:55:45 : CPU 13.3%, MEM 2.4%
01:55:46 : CPU 26.7%, MEM 2.4%
01:55:48 : CPU 25.0%, MEM 2.4%
01:55:49 : CPU 18.8%, MEM 2.4%
01:55:50 : CPU 20.0%, MEM 2.4%
01:55:51 : CPU 13.3%, MEM 2.4%
01:55:52 : CPU 13.3%, MEM 2.4%
01:55:53 : CPU 20.0%, MEM 2.4%
01:55:55 : CPU 20.0%, MEM 2.4%
01:55:56 : CPU 12.5%, MEM 2.4%
01:55:57 : CPU 18.8%, MEM 2.4%
01:55:58 : CPU 13.3%, MEM 2.4%
01:55:59 : CPU 20.0%, MEM 2.4%
01:56:00 : CPU 26.7%, MEM 2.4%
01:56:01 : CPU 20.0%, MEM 2.4%
01:56:03 : CPU 20.0%, MEM 2.4%
01:56:04 : CPU 18.8%, MEM 2.4%
01:56:05 : CPU 18.8%, MEM 2.4%
01:56:06 : CPU 12.5%, MEM 2.4%
01:56:07 : CPU 18.8%, MEM 2.4%
01:56:08 : CPU 20.0%, MEM 2.4%
01:56:10 : CPU 26.7%, MEM 2.4%
01:56:11 : CPU 20.0%, MEM 2.4%
01:56:12 : CPU 20.0%, MEM 2.4%
01:56:13 : CPU 26.7%, MEM 2.4%
01:56:14 : CPU 20.0%, MEM 2.4%
01:56:15 : CPU 20.0%, MEM 2.4%
01:56:17 : CPU 18.8%, MEM 2.4%
01:56:18 : CPU 18.8%, MEM 2.4%
01:56:19 : CPU 13.3%, MEM 2.4%
01:56:20 : CPU 20.0%, MEM 2.4%
01:56:21 : CPU 20.0%, MEM 2.4%
01:56:22 : CPU 13.3%, MEM 2.4%
01:56:24 : CPU 20.0%, MEM 2.4%
01:56:25 : CPU 20.0%, MEM 2.4%
01:56:26 : CPU 12.5%, MEM 2.4%
01:56:27 : CPU 12.5%, MEM 2.4%
01:56:28 : CPU 20.0%, MEM 2.5%
01:56:29 : CPU 13.3%, MEM 2.5%
01:56:31 : CPU 13.3%, MEM 2.5%
01:56:32 : CPU 13.3%, MEM 2.5%
01:56:33 : CPU 20.0%, MEM 2.5%
01:56:34 : CPU 26.7%, MEM 2.5%
01:56:35 : CPU 18.8%, MEM 2.5%
01:56:36 : CPU 18.8%, MEM 2.5%
01:56:37 : CPU 20.0%, MEM 2.5%
01:56:39 : CPU 20.0%, MEM 2.5%
01:56:40 : CPU 13.3%, MEM 2.5%
01:56:41 : CPU 13.3%, MEM 2.5%
01:56:42 : CPU 20.0%, MEM 2.5%
01:56:43 : CPU 20.0%, MEM 2.5%
01:56:44 : CPU 13.3%, MEM 2.5%
01:56:46 : CPU 26.7%, MEM 2.7%
01:56:47 : CPU 12.5%, MEM 2.7%
01:56:48 : CPU 12.5%, MEM 2.7%
01:56:49 : CPU 18.8%, MEM 2.7%
01:56:50 : CPU 20.0%, MEM 2.7%
01:56:51 : CPU 13.3%, MEM 2.7%
01:56:53 : CPU 20.0%, MEM 2.7%
01:56:54 : CPU 20.0%, MEM 2.7%
01:56:55 : CPU 20.0%, MEM 2.7%
01:56:56 : CPU 25.0%, MEM 2.7%
01:56:57 : CPU 20.0%, MEM 2.7%
01:56:58 : CPU 13.3%, MEM 2.7%
01:57:00 : CPU 20.0%, MEM 2.7%
01:57:01 : CPU 13.3%, MEM 2.7%
01:57:02 : CPU 20.0%, MEM 2.8%
01:57:03 : CPU 18.8%, MEM 2.8%
01:57:04 : CPU 18.8%, MEM 2.8%
01:57:05 : CPU 13.3%, MEM 2.8%
01:57:07 : CPU 13.3%, MEM 2.8%
01:57:08 : CPU 13.3%, MEM 2.8%
01:57:09 : CPU 20.0%, MEM 2.8%
01:57:10 : CPU 13.3%, MEM 2.8%
01:57:11 : CPU 26.7%, MEM 2.8%
01:57:12 : CPU 18.8%, MEM 2.8%
01:57:13 : CPU 25.0%, MEM 2.8%
01:57:15 : CPU 13.3%, MEM 2.8%
01:57:16 : CPU 20.0%, MEM 2.8%
01:57:17 : CPU 20.0%, MEM 2.8%
01:57:18 : CPU 20.0%, MEM 2.8%
01:57:19 : CPU 20.0%, MEM 2.8%
01:57:20 : CPU 13.3%, MEM 2.8%
01:57:22 : CPU 18.8%, MEM 3.0%
01:57:23 : CPU 12.5%, MEM 3.0%
01:57:24 : CPU 18.8%, MEM 3.0%
01:57:25 : CPU 20.0%, MEM 3.0%
01:57:26 : CPU 20.0%, MEM 3.0%
01:57:27 : CPU 20.0%, MEM 3.0%
01:57:29 : CPU 13.3%, MEM 3.0%
01:57:30 : CPU 20.0%, MEM 3.0%
01:57:31 : CPU 13.3%, MEM 3.0%
01:57:32 : CPU 18.8%, MEM 3.0%
01:57:33 : CPU 26.7%, MEM 3.0%
01:57:34 : CPU 20.0%, MEM 3.0%
01:57:36 : CPU 20.0%, MEM 3.0%
01:57:37 : CPU 13.3%, MEM 3.0%
01:57:38 : CPU 20.0%, MEM 3.0%
01:57:39 : CPU 20.0%, MEM 3.1%
01:57:40 : CPU 13.3%, MEM 3.1%
01:57:41 : CPU 12.5%, MEM 3.1%
01:57:43 : CPU 12.5%, MEM 3.1%
01:57:44 : CPU 20.0%, MEM 3.1%
01:57:45 : CPU 20.0%, MEM 3.1%
01:57:46 : CPU 20.0%, MEM 3.1%
01:57:47 : CPU 20.0%, MEM 3.1%
01:57:48 : CPU 20.0%, MEM 3.1%
01:57:49 : CPU 26.7%, MEM 3.1%
01:57:51 : CPU 12.5%, MEM 3.1%
01:57:52 : CPU 20.0%, MEM 3.1%
01:57:53 : CPU 13.3%, MEM 3.1%
01:57:54 : CPU 13.3%, MEM 3.1%
01:57:55 : CPU 20.0%, MEM 3.1%
01:57:56 : CPU 20.0%, MEM 3.1%
01:57:58 : CPU 26.7%, MEM 3.1%
01:57:59 : CPU 20.0%, MEM 3.2%
01:58:00 : CPU 26.7%, MEM 3.2%
01:58:01 : CPU 18.8%, MEM 3.2%
01:58:02 : CPU 20.0%, MEM 3.2%
01:58:03 : CPU 20.0%, MEM 3.2%
01:58:05 : CPU 20.0%, MEM 3.2%
01:58:06 : CPU 20.0%, MEM 3.2%
01:58:07 : CPU 20.0%, MEM 3.2%
01:58:08 : CPU 20.0%, MEM 3.2%
01:58:09 : CPU 20.0%, MEM 3.2%
01:58:10 : CPU 12.5%, MEM 3.2%
01:58:12 : CPU 26.7%, MEM 3.2%
01:58:13 : CPU 13.3%, MEM 3.2%
01:58:14 : CPU 20.0%, MEM 3.2%
01:58:15 : CPU 26.7%, MEM 3.2%
01:58:16 : CPU 26.7%, MEM 3.4%
01:58:17 : CPU 18.8%, MEM 3.4%
01:58:19 : CPU 12.5%, MEM 3.4%
01:58:20 : CPU 18.8%, MEM 3.4%
01:58:21 : CPU 20.0%, MEM 3.4%
01:58:22 : CPU 20.0%, MEM 3.4%
01:58:23 : CPU 20.0%, MEM 3.4%
01:58:24 : CPU 20.0%, MEM 3.4%
01:58:25 : CPU 18.8%, MEM 3.4%
01:58:27 : CPU 25.0%, MEM 3.4%
01:58:28 : CPU 20.0%, MEM 3.4%
01:58:29 : CPU 13.3%, MEM 3.4%
01:58:30 : CPU 20.0%, MEM 3.4%
01:58:31 : CPU 13.3%, MEM 3.4%
01:58:32 : CPU 18.8%, MEM 3.4%
01:58:34 : CPU 13.3%, MEM 3.4%
01:58:35 : CPU 13.3%, MEM 3.5%
01:58:36 : CPU 20.0%, MEM 3.5%
01:58:37 : CPU 20.0%, MEM 3.5%
01:58:38 : CPU 20.0%, MEM 3.5%
01:58:39 : CPU 18.8%, MEM 3.5%
01:58:41 : CPU 18.8%, MEM 3.5%
01:58:42 : CPU 18.8%, MEM 3.5%
01:58:43 : CPU 20.0%, MEM 3.5%
01:58:44 : CPU 20.0%, MEM 3.5%
01:58:45 : CPU 20.0%, MEM 3.5%
01:58:46 : CPU 13.3%, MEM 3.5%
01:58:48 : CPU 26.7%, MEM 3.5%
01:58:49 : CPU 13.3%, MEM 3.5%
01:58:50 : CPU 18.8%, MEM 3.5%
01:58:51 : CPU 25.0%, MEM 3.5%
01:58:52 : CPU 12.5%, MEM 3.7%
01:58:53 : CPU 20.0%, MEM 3.7%
01:58:55 : CPU 20.0%, MEM 3.7%
01:58:56 : CPU 26.7%, MEM 3.7%
01:58:57 : CPU 13.3%, MEM 3.7%
01:58:58 : CPU 20.0%, MEM 3.7%
01:58:59 : CPU 25.0%, MEM 3.7%
01:59:00 : CPU 20.0%, MEM 3.7%
01:59:01 : CPU 20.0%, MEM 3.7%
01:59:03 : CPU 6.7%, MEM 3.7%
01:59:04 : CPU 13.3%, MEM 3.7%
01:59:05 : CPU 13.3%, MEM 3.7%
01:59:06 : CPU 25.0%, MEM 3.7%
01:59:07 : CPU 18.8%, MEM 3.7%
01:59:08 : CPU 18.8%, MEM 3.7%
01:59:10 : CPU 20.0%, MEM 3.7%
01:59:11 : CPU 13.3%, MEM 3.8%
01:59:12 : CPU 13.3%, MEM 3.8%
01:59:13 : CPU 20.0%, MEM 3.8%
01:59:14 : CPU 12.5%, MEM 3.8%
01:59:15 : CPU 12.5%, MEM 3.8%
01:59:17 : CPU 18.8%, MEM 3.8%
01:59:18 : CPU 20.0%, MEM 3.8%
01:59:19 : CPU 13.3%, MEM 3.8%
01:59:20 : CPU 20.0%, MEM 3.8%
01:59:21 : CPU 13.3%, MEM 3.8%
01:59:22 : CPU 20.0%, MEM 3.8%
01:59:24 : CPU 20.0%, MEM 3.8%
01:59:25 : CPU 18.8%, MEM 3.8%
01:59:26 : CPU 25.0%, MEM 3.8%
01:59:27 : CPU 18.8%, MEM 3.8%
01:59:28 : CPU 20.0%, MEM 3.8%
01:59:29 : CPU 20.0%, MEM 3.9%
01:59:31 : CPU 13.3%, MEM 3.9%
01:59:32 : CPU 13.3%, MEM 3.9%
01:59:33 : CPU 20.0%, MEM 3.9%
01:59:34 : CPU 12.5%, MEM 3.9%
01:59:35 : CPU 20.0%, MEM 3.9%
01:59:36 : CPU 20.0%, MEM 3.9%
01:59:37 : CPU 13.3%, MEM 3.9%
01:59:39 : CPU 20.0%, MEM 3.9%
01:59:40 : CPU 20.0%, MEM 3.9%
01:59:41 : CPU 20.0%, MEM 3.9%
01:59:42 : CPU 20.0%, MEM 3.9%
01:59:43 : CPU 12.5%, MEM 3.9%
01:59:44 : CPU 18.8%, MEM 3.9%
01:59:46 : CPU 18.8%, MEM 3.9%
01:59:47 : CPU 13.3%, MEM 4.1%
01:59:48 : CPU 13.3%, MEM 4.1%
01:59:49 : CPU 20.0%, MEM 4.1%
01:59:50 : CPU 26.7%, MEM 4.1%
01:59:51 : CPU 18.8%, MEM 4.1%
01:59:53 : CPU 18.8%, MEM 4.1%
01:59:54 : CPU 26.7%, MEM 4.1%
01:59:55 : CPU 13.3%, MEM 4.1%
01:59:56 : CPU 20.0%, MEM 4.1%
01:59:57 : CPU 20.0%, MEM 4.1%
01:59:58 : CPU 26.7%, MEM 4.1%
02:00:00 : CPU 20.0%, MEM 4.1%
02:00:01 : CPU 12.5%, MEM 4.1%
02:00:02 : CPU 18.8%, MEM 4.1%
02:00:03 : CPU 18.8%, MEM 4.1%
02:00:04 : CPU 13.3%, MEM 4.2%
02:00:05 : CPU 26.7%, MEM 4.2%
02:00:07 : CPU 20.0%, MEM 4.2%
02:00:08 : CPU 20.0%, MEM 4.2%
02:00:09 : CPU 12.5%, MEM 4.2%
02:00:10 : CPU 20.0%, MEM 4.2%
02:00:11 : CPU 26.7%, MEM 4.2%
02:00:12 : CPU 26.7%, MEM 4.2%
02:00:13 : CPU 20.0%, MEM 4.2%
02:00:15 : CPU 13.3%, MEM 4.2%
02:00:16 : CPU 26.7%, MEM 4.2%
02:00:17 : CPU 20.0%, MEM 4.2%
02:00:18 : CPU 12.5%, MEM 4.2%
02:00:19 : CPU 18.8%, MEM 4.2%
02:00:20 : CPU 20.0%, MEM 4.2%
02:00:22 : CPU 13.3%, MEM 4.3%
02:00:23 : CPU 20.0%, MEM 4.3%
02:00:24 : CPU 13.3%, MEM 4.3%
02:00:25 : CPU 20.0%, MEM 4.3%
02:00:26 : CPU 18.8%, MEM 4.3%
02:00:27 : CPU 25.0%, MEM 4.3%
02:00:29 : CPU 13.3%, MEM 4.3%
02:00:30 : CPU 20.0%, MEM 4.3%
02:00:31 : CPU 13.3%, MEM 4.3%
02:00:32 : CPU 20.0%, MEM 4.3%
02:00:33 : CPU 12.5%, MEM 4.3%
02:00:34 : CPU 18.8%, MEM 4.3%
02:00:36 : CPU 26.7%, MEM 4.3%
02:00:37 : CPU 13.3%, MEM 4.3%
02:00:38 : CPU 20.0%, MEM 4.3%
02:00:39 : CPU 13.3%, MEM 4.3%
02:00:40 : CPU 20.0%, MEM 4.5%
02:00:41 : CPU 12.5%, MEM 4.5%
02:00:43 : CPU 20.0%, MEM 4.5%
02:00:44 : CPU 20.0%, MEM 4.5%
02:00:45 : CPU 20.0%, MEM 4.5%
02:00:46 : CPU 20.0%, MEM 4.5%
02:00:47 : CPU 20.0%, MEM 4.5%
02:00:48 : CPU 13.3%, MEM 4.5%
02:00:49 : CPU 18.8%, MEM 4.5%
02:00:51 : CPU 18.8%, MEM 4.5%
02:00:52 : CPU 13.3%, MEM 4.5%
02:00:53 : CPU 13.3%, MEM 4.5%
02:00:54 : CPU 20.0%, MEM 4.5%
02:00:55 : CPU 20.0%, MEM 4.5%
02:00:56 : CPU 13.3%, MEM 4.5%
02:00:58 : CPU 20.0%, MEM 4.6%
02:00:59 : CPU 20.0%, MEM 4.6%
02:01:00 : CPU 18.8%, MEM 4.6%
02:01:01 : CPU 13.3%, MEM 4.6%
02:01:02 : CPU 20.0%, MEM 4.6%
02:01:03 : CPU 13.3%, MEM 4.6%
02:01:05 : CPU 13.3%, MEM 4.6%
02:01:06 : CPU 20.0%, MEM 4.6%
02:01:07 : CPU 12.5%, MEM 4.6%
02:01:08 : CPU 18.8%, MEM 4.6%
02:01:09 : CPU 20.0%, MEM 4.6%
02:01:10 : CPU 13.3%, MEM 4.6%
02:01:12 : CPU 13.3%, MEM 4.6%
02:01:13 : CPU 20.0%, MEM 4.8%
02:01:14 : CPU 13.3%, MEM 4.8%
02:01:15 : CPU 18.8%, MEM 4.8%
02:01:16 : CPU 18.8%, MEM 4.8%
02:01:17 : CPU 18.8%, MEM 4.8%
02:01:19 : CPU 13.3%, MEM 4.8%
02:01:20 : CPU 13.3%, MEM 4.8%
02:01:21 : CPU 20.0%, MEM 4.8%
02:01:22 : CPU 26.7%, MEM 4.8%
02:01:23 : CPU 18.8%, MEM 4.8%
02:01:24 : CPU 12.5%, MEM 4.8%
02:01:25 : CPU 18.8%, MEM 4.8%
02:01:27 : CPU 18.8%, MEM 4.8%
02:01:28 : CPU 13.3%, MEM 4.8%
02:01:29 : CPU 20.0%, MEM 4.8%
02:01:30 : CPU 20.0%, MEM 4.8%
02:01:31 : CPU 20.0%, MEM 4.8%
02:01:32 : CPU 20.0%, MEM 4.8%
02:01:34 : CPU 12.5%, MEM 4.8%
02:01:35 : CPU 12.5%, MEM 4.8%
02:01:36 : CPU 20.0%, MEM 4.8%
02:01:37 : CPU 13.3%, MEM 4.9%
02:01:38 : CPU 20.0%, MEM 4.9%
02:01:39 : CPU 20.0%, MEM 4.9%
02:01:41 : CPU 20.0%, MEM 4.9%
02:01:42 : CPU 20.0%, MEM 4.9%
02:01:43 : CPU 18.8%, MEM 4.9%
02:01:44 : CPU 12.5%, MEM 4.9%
02:01:45 : CPU 20.0%, MEM 4.9%
02:01:46 : CPU 20.0%, MEM 4.9%
02:01:48 : CPU 20.0%, MEM 4.9%
02:01:49 : CPU 13.3%, MEM 4.9%
02:01:50 : CPU 13.3%, MEM 4.9%
02:01:51 : CPU 18.8%, MEM 4.9%
02:01:52 : CPU 18.8%, MEM 4.9%
02:01:53 : CPU 20.0%, MEM 4.9%
02:01:55 : CPU 20.0%, MEM 4.9%
02:01:56 : CPU 20.0%, MEM 4.9%
02:01:57 : CPU 20.0%, MEM 4.9%
02:01:58 : CPU 18.8%, MEM 4.9%
02:01:59 : CPU 18.8%, MEM 4.9%
02:02:00 : CPU 18.8%, MEM 4.9%
02:02:02 : CPU 26.7%, MEM 4.9%
02:02:03 : CPU 20.0%, MEM 5.0%
02:02:04 : CPU 26.7%, MEM 5.0%
02:02:05 : CPU 20.0%, MEM 5.0%
02:02:06 : CPU 20.0%, MEM 5.0%
02:02:07 : CPU 13.3%, MEM 5.0%
02:02:08 : CPU 18.8%, MEM 5.0%
02:02:10 : CPU 12.5%, MEM 5.0%
02:02:11 : CPU 25.0%, MEM 5.0%
02:02:12 : CPU 26.7%, MEM 5.0%
02:02:13 : CPU 20.0%, MEM 5.0%
02:02:14 : CPU 13.3%, MEM 5.0%
02:02:15 : CPU 26.7%, MEM 5.0%
02:02:17 : CPU 20.0%, MEM 5.0%
02:02:18 : CPU 6.7%, MEM 5.0%
02:02:19 : CPU 18.8%, MEM 5.0%
02:02:20 : CPU 25.0%, MEM 5.0%
02:02:21 : CPU 25.0%, MEM 5.0%
02:02:22 : CPU 13.3%, MEM 5.0%
02:02:24 : CPU 20.0%, MEM 5.0%
02:02:25 : CPU 26.7%, MEM 5.0%
02:02:26 : CPU 20.0%, MEM 5.0%
02:02:27 : CPU 12.5%, MEM 5.0%
02:02:28 : CPU 18.8%, MEM 5.0%
02:02:29 : CPU 18.8%, MEM 5.0%
02:02:31 : CPU 13.3%, MEM 5.0%
02:02:32 : CPU 20.0%, MEM 5.0%
02:02:33 : CPU 20.0%, MEM 5.0%
02:02:34 : CPU 20.0%, MEM 5.0%
02:02:35 : CPU 20.0%, MEM 5.0%
02:02:36 : CPU 18.8%, MEM 5.0%
02:02:37 : CPU 18.8%, MEM 5.0%
02:02:39 : CPU 18.8%, MEM 5.0%
02:02:40 : CPU 20.0%, MEM 5.0%
02:02:41 : CPU 26.7%, MEM 5.0%
02:02:42 : CPU 13.3%, MEM 5.0%
02:02:43 : CPU 13.3%, MEM 5.0%
02:02:44 : CPU 20.0%, MEM 5.0%
02:02:46 : CPU 20.0%, MEM 5.0%
02:02:47 : CPU 12.5%, MEM 5.0%
02:02:48 : CPU 18.8%, MEM 5.0%
02:02:49 : CPU 20.0%, MEM 5.0%
02:02:50 : CPU 13.3%, MEM 5.0%
02:02:51 : CPU 20.0%, MEM 5.0%
02:02:53 : CPU 20.0%, MEM 5.0%
02:02:54 : CPU 13.3%, MEM 5.0%
02:02:55 : CPU 20.0%, MEM 5.0%
02:02:56 : CPU 18.8%, MEM 5.0%
02:02:57 : CPU 20.0%, MEM 5.0%
02:02:58 : CPU 20.0%, MEM 5.0%
02:03:00 : CPU 13.3%, MEM 5.0%
02:03:01 : CPU 20.0%, MEM 5.0%
02:03:02 : CPU 18.8%, MEM 5.0%
02:03:03 : CPU 18.8%, MEM 5.0%
02:03:04 : CPU 6.2%, MEM 5.0%
02:03:05 : CPU 20.0%, MEM 5.0%
02:03:07 : CPU 6.7%, MEM 5.0%
02:03:08 : CPU 20.0%, MEM 5.0%
02:03:09 : CPU 13.3%, MEM 5.0%
02:03:10 : CPU 25.0%, MEM 5.0%
02:03:11 : CPU 13.3%, MEM 5.0%
02:03:12 : CPU 13.3%, MEM 5.0%
02:03:14 : CPU 20.0%, MEM 5.0%
02:03:15 : CPU 13.3%, MEM 5.0%
02:03:16 : CPU 12.5%, MEM 5.0%
02:03:17 : CPU 12.5%, MEM 5.0%
02:03:18 : CPU 13.3%, MEM 5.0%
02:03:19 : CPU 20.0%, MEM 5.0%
02:03:20 : CPU 13.3%, MEM 5.0%
02:03:22 : CPU 20.0%, MEM 5.0%
02:03:23 : CPU 20.0%, MEM 5.0%
02:03:24 : CPU 26.7%, MEM 5.0%
02:03:25 : CPU 13.3%, MEM 5.0%
02:03:26 : CPU 20.0%, MEM 5.0%
02:03:27 : CPU 25.0%, MEM 5.0%
02:03:29 : CPU 18.8%, MEM 5.0%
02:03:30 : CPU 12.5%, MEM 5.0%
02:03:31 : CPU 20.0%, MEM 5.0%
02:03:32 : CPU 20.0%, MEM 5.0%
02:03:33 : CPU 20.0%, MEM 5.0%
02:03:34 : CPU 13.3%, MEM 5.0%
02:03:36 : CPU 20.0%, MEM 5.0%
02:03:37 : CPU 13.3%, MEM 5.0%
02:03:38 : CPU 20.0%, MEM 5.0%
02:03:39 : CPU 20.0%, MEM 5.0%
02:03:40 : CPU 25.0%, MEM 5.0%
02:03:41 : CPU 12.5%, MEM 5.0%
